site,time,concentration
site_A,0.2,0.008389424124181064
site_A,0.6318840579710145,0.09779646498746654
site_A,1.063768115942029,0.18900948258158454
site_A,1.4956521739130435,0.22263950945067545
site_A,1.9275362318840579,0.26238083336224644
site_A,2.3594202898550725,0.2729935898194849
site_A,2.7913043478260873,0.2606753183883021
site_A,3.2231884057971016,0.2723500305547538
site_A,3.655072463768116,0.2508351046980566
site_A,4.08695652173913,0.23695742975979525
site_A,4.518840579710145,0.2264480565142122
site_A,4.95072463768116,0.18720439157488117
site_A,5.382608695652174,0.20599671417413715
site_A,5.814492753623188,0.16330622341798934
site_A,6.246376811594203,0.1688084726482577
site_A,6.678260869565217,0.1410664202501293
site_A,7.110144927536232,0.14480185123564246
site_A,7.542028985507247,0.10138792924026532
site_A,7.973913043478261,0.09335247385101264
site_A,8.405797101449274,0.09054760602626044
site_A,8.837681159420288,0.04586878637701292
site_A,9.269565217391303,0.07739485004101847
site_A,9.701449275362318,0.07867372734352583
site_A,10.133333333333333,0.06569157708660263
site_A,10.565217391304348,0.0541381544285812
site_A,10.99710144927536,0.036241530030581275
site_A,11.428985507246376,0.050391780197042865
site_A,11.86086956521739,0.04314760372066764
site_A,12.292753623188405,0.030087407641182368
site_A,12.72463768115942,0.02148018271563133
site_A,13.156521739130433,0.013589830658038468
site_A,13.588405797101448,0.0
site_A,14.020289855072463,0.030179983461078513
site_A,14.452173913043477,0.0
site_A,14.884057971014492,0.005099578718963852
site_A,15.315942028985505,0.010858623045396412
site_A,15.74782608695652,0.01898280272799833
site_A,16.179710144927537,0.03005603180341321
site_A,16.611594202898548,0.01879508450248631
site_A,17.043478260869563,0.000710030433250762
site_A,17.475362318840578,0.01376018173036468
site_A,17.907246376811592,0.0
site_A,18.339130434782607,0.022130986698588533
site_A,18.771014492753622,0.000349005151925705
site_A,19.202898550724637,0.0
site_A,19.63478260869565,0.0
site_A,20.066666666666666,0.0006891268064035858
site_A,20.49855072463768,0.0
site_A,20.930434782608696,0.03192246233908003
site_A,21.362318840579707,0.0
site_A,21.794202898550722,0.0012292178684762147
site_A,22.226086956521737,0.0010484035229348882
site_A,22.65797101449275,0.000949755034017103
site_A,23.089855072463767,0.0012277900150352084
site_A,23.52173913043478,0.0
site_A,23.953623188405796,0.0
site_A,24.38550724637681,0.0
site_A,24.817391304347826,0.0
